,bankssts-lh,bankssts-rh,paracentral-rh,parahippocampal-rh,pericalcarine-lh,rostralanteriorcingulate-lh,superiorparietal-rh,temporalpole-rh
bankssts-lh,0.6712328767123288,0.0,0.0,0.0,0.0,0.0,0.0,0.3287671232876712
bankssts-rh,0.0,0.702247191011236,0.056179775280898875,0.0,0.0,0.24157303370786518,0.0,0.0
paracentral-rh,0.0,0.03289473684210526,0.6381578947368421,0.0,0.0,0.22039473684210525,0.0,0.10855263157894737
parahippocampal-rh,0.0,0.0,0.0,0.685,0.0,0.0,0.315,0.0
pericalcarine-lh,0.0,0.0,0.0,0.0,0.8544303797468354,0.0,0.0,0.14556962025316456
rostralanteriorcingulate-lh,0.0,0.1443661971830986,0.22183098591549297,0.0,0.0,0.5950704225352113,0.0,0.03873239436619718
superiorparietal-rh,0.0,0.0,0.0,0.2801724137931034,0.0,0.0,0.7198275862068966,0.0
temporalpole-rh,0.19230769230769232,0.0,0.07967032967032966,0.0,0.06318681318681318,0.024725274725274724,0.0,0.6401098901098901
