,cuneus-lh,cuneus-rh,frontalpole-lh,fusiform-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-rh,parahippocampal-rh
cuneus-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-rh,0.0,0.5,0.0,0.0,0.3181818181818182,0.09090909090909091,0.09090909090909091,0.0
frontalpole-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fusiform-rh,0.0,0.0,0.0,0.4782608695652174,0.0,0.17391304347826086,0.08695652173913043,0.2608695652173913
isthmuscingulate-lh,0.0,0.2,0.0,0.0,0.52,0.16,0.12,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.16,0.08,0.36,0.32,0.08
lateraloccipital-rh,0.0,0.0,0.0,0.11538461538461539,0.038461538461538464,0.2692307692307692,0.5,0.07692307692307693
parahippocampal-rh,0.0,0.0,0.0,0.3793103448275862,0.0,0.10344827586206896,0.06896551724137931,0.4482758620689655
