,caudalanteriorcingulate-rh,caudalmiddlefrontal-rh,isthmuscingulate-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,parsopercularis-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-rh,0.475,0.0,0.0,0.15,0.075,0.0,0.15,0.15
caudalmiddlefrontal-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.12,0.0,0.0,0.3,0.0,0.0,0.3,0.28
lateralorbitofrontal-rh,0.0625,0.0,0.0,0.0,0.9375,0.0,0.0,0.0
parsopercularis-rh,0.0,0.15789473684210525,0.0,0.0,0.0,0.8421052631578947,0.0,0.0
rostralanteriorcingulate-lh,0.12,0.0,0.0,0.3,0.0,0.0,0.3,0.28
rostralanteriorcingulate-rh,0.1276595744680851,0.0,0.0,0.2978723404255319,0.0,0.0,0.2978723404255319,0.2765957446808511
