,T7,P7,O1,Oz,T8,Fp2,F1,PO3
T7,0.46842105263157896,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.05789473684210526
P7,0.46842105263157896,0.47368421052631576,0.0,0.0,0.0,0.0,0.0,0.05789473684210526
O1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.34285714285714286,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,0.3142857142857143
