,T7,P7,O1,Oz,T8,Fp2,F1,PO3
T7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.3333333333333333,0.34146341463414637,0.0,0.0,0.3252032520325203,0.0
Oz,0.0,0.0,0.26582278481012656,0.43037974683544306,0.0,0.0,0.3037974683544304,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.2916666666666667,0.3472222222222222,0.0,0.0,0.3611111111111111,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
