,frontalpole-lh,frontalpole-rh,fusiform-rh,isthmuscingulate-rh,lingual-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-lh,0.2571428571428571,0.24285714285714285,0.0,0.0,0.0,0.0,0.24285714285714285,0.2571428571428571
frontalpole-rh,0.25675675675675674,0.24324324324324326,0.0,0.0,0.0,0.0,0.24324324324324326,0.25675675675675674
fusiform-rh,0.0,0.0,0.3333333333333333,0.2,0.3,0.16666666666666666,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.32,0.44,0.2,0.04,0.0,0.0
lingual-rh,0.0,0.0,0.23333333333333334,0.1,0.36666666666666664,0.3,0.0,0.0
parahippocampal-rh,0.0,0.0,0.15789473684210525,0.0,0.3684210526315789,0.47368421052631576,0.0,0.0
rostralanteriorcingulate-lh,0.25675675675675674,0.24324324324324326,0.0,0.0,0.0,0.0,0.24324324324324326,0.25675675675675674
rostralanteriorcingulate-rh,0.2571428571428571,0.24285714285714285,0.0,0.0,0.0,0.0,0.24285714285714285,0.2571428571428571
