,frontalpole-lh,frontalpole-rh,medialorbitofrontal-lh,parahippocampal-rh,pericalcarine-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,superiorparietal-lh
frontalpole-lh,0.4722222222222222,0.1388888888888889,0.0,0.1111111111111111,0.0,0.0,0.2777777777777778,0.0
frontalpole-rh,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.3283582089552239,0.0,0.3283582089552239,0.34328358208955223,0.0,0.0
parahippocampal-rh,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
pericalcarine-lh,0.0,0.0,0.3076923076923077,0.0,0.36923076923076925,0.3230769230769231,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.3181818181818182,0.0,0.3484848484848485,0.3333333333333333,0.0,0.0
rostralanteriorcingulate-rh,0.48,0.0,0.0,0.08,0.0,0.0,0.44,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
