,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-rh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
parsopercularis-lh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
parstriangularis-rh,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
rostralmiddlefrontal-lh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
rostralmiddlefrontal-rh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
superiorparietal-rh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
superiortemporal-lh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
superiortemporal-rh,0.2,0.2,0.0,0.2,0.1,0.1,0.1,0.1
