,caudalmiddlefrontal-lh,inferiorparietal-rh,parsopercularis-lh,precentral-lh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-lh,0.12195121951219512,0.13008130081300814,0.11382113821138211,0.13008130081300814,0.12195121951219512,0.12195121951219512,0.13008130081300814,0.13008130081300814
inferiorparietal-rh,0.11904761904761904,0.1349206349206349,0.1111111111111111,0.12698412698412698,0.11904761904761904,0.11904761904761904,0.14285714285714285,0.12698412698412698
parsopercularis-lh,0.12605042016806722,0.12605042016806722,0.11764705882352941,0.12605042016806722,0.12605042016806722,0.12605042016806722,0.12605042016806722,0.12605042016806722
precentral-lh,0.12,0.136,0.112,0.128,0.12,0.12,0.136,0.128
rostralmiddlefrontal-lh,0.12195121951219512,0.13008130081300814,0.11382113821138211,0.13008130081300814,0.12195121951219512,0.12195121951219512,0.13008130081300814,0.13008130081300814
rostralmiddlefrontal-rh,0.12195121951219512,0.13008130081300814,0.11382113821138211,0.13008130081300814,0.12195121951219512,0.12195121951219512,0.13008130081300814,0.13008130081300814
superiortemporal-lh,0.11904761904761904,0.1349206349206349,0.1111111111111111,0.12698412698412698,0.11904761904761904,0.11904761904761904,0.14285714285714285,0.12698412698412698
superiortemporal-rh,0.12,0.136,0.112,0.128,0.12,0.12,0.136,0.128
