,Fp1,Fz,FC1,CP6,C4,F4,Fp2,PO4
Fp1,0.5806451612903226,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.36,0.32,0.0,0.32,0.0,0.0
CP6,0.0,0.0,0.36,0.32,0.0,0.32,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.8395061728395061,0.0,0.16049382716049382,0.0
F4,0.0,0.0,0.36,0.32,0.0,0.32,0.0,0.0
Fp2,0.32432432432432434,0.0,0.0,0.0,0.17567567567567569,0.0,0.5,0.0
PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
