,CP5,Pz,P3,P8,C5,POz,CPz,TP8
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.3717948717948718,0.34615384615384615,0.28205128205128205,0.0,0.0,0.0
P8,0.0,0.0,0.3424657534246575,0.3561643835616438,0.3013698630136986,0.0,0.0,0.0
C5,0.0,0.0,0.3384615384615385,0.3384615384615385,0.3230769230769231,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
