,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lingual-lh,parahippocampal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-lh,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
frontalpole-rh,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
isthmuscingulate-rh,0.0,0.0,0.45,0.1,0.1,0.35,0.0,0.0
lingual-lh,0.0,0.0,0.0967741935483871,0.45161290322580644,0.3548387096774194,0.0967741935483871,0.0,0.0
parahippocampal-lh,0.0,0.0,0.08571428571428572,0.42857142857142855,0.4,0.08571428571428572,0.0,0.0
parahippocampal-rh,0.0,0.0,0.4090909090909091,0.09090909090909091,0.09090909090909091,0.4090909090909091,0.0,0.0
rostralanteriorcingulate-lh,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
rostralanteriorcingulate-rh,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25
