,Fp1,Fz,FT9,TP9,T8,Fp2,AF7,AF8
Fp1,0.2782258064516129,0.0,0.0,0.0,0.0,0.2782258064516129,0.2782258064516129,0.16532258064516128
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.2788844621513944,0.0,0.0,0.0,0.0,0.2788844621513944,0.2788844621513944,0.16334661354581673
AF7,0.2766798418972332,0.0,0.0,0.0,0.0,0.28063241106719367,0.28063241106719367,0.16205533596837945
AF8,0.25153374233128833,0.0,0.0,0.0,0.0,0.25153374233128833,0.25153374233128833,0.24539877300613497
