,frontalpole-rh,fusiform-rh,parahippocampal-rh,parsopercularis-rh,parsorbitalis-rh,parstriangularis-rh,pericalcarine-rh,rostralanteriorcingulate-rh
frontalpole-rh,0.25,0.2692307692307692,0.25,0.0,0.0,0.0,0.0,0.23076923076923078
fusiform-rh,0.25,0.2692307692307692,0.25,0.0,0.0,0.0,0.0,0.23076923076923078
parahippocampal-rh,0.25,0.2692307692307692,0.25,0.0,0.0,0.0,0.0,0.23076923076923078
parsopercularis-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0
rostralanteriorcingulate-rh,0.25,0.2692307692307692,0.25,0.0,0.0,0.0,0.0,0.23076923076923078
