,bankssts-rh,lateraloccipital-lh,lateraloccipital-rh,lingual-lh,parsorbitalis-rh,pericalcarine-lh,rostralanteriorcingulate-lh,temporalpole-lh
bankssts-rh,0.375,0.0,0.125,0.0,0.0,0.0,0.5,0.0
lateraloccipital-lh,0.0,0.5263157894736842,0.0,0.0,0.47368421052631576,0.0,0.0,0.0
lateraloccipital-rh,0.2,0.0,0.3,0.0,0.0,0.3,0.2,0.0
lingual-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.4583333333333333,0.0,0.0,0.5416666666666666,0.0,0.0,0.0
pericalcarine-lh,0.0,0.0,0.1875,0.0,0.0,0.8125,0.0,0.0
rostralanteriorcingulate-lh,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,0.7333333333333333,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
