,TP9,P7,O1,Oz,PO7,POz,CPz,TP8
TP9,0.49295774647887325,0.0,0.0,0.0,0.0,0.0,0.0,0.5070422535211268
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.3956043956043956,0.0,0.0,0.0,0.0,0.0,0.0,0.6043956043956044
