,Fp1,Fz,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.056105610561056105,0.0,0.0,0.0462046204620462,0.0,0.0,0.054455445544554455,0.0,0.057755775577557754,0.0,0.033003300330033,0.0,0.057755775577557754,0.0,0.04785478547854786,0.0,0.0,0.039603960396039604,0.034653465346534656,0.0,0.04785478547854786,0.0,0.056105610561056105,0.057755775577557754,0.0231023102310231,0.056105610561056105,0.0,0.0462046204620462,0.0,0.0,0.0,0.0462046204620462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057755775577557754,0.0,0.0,0.0,0.057755775577557754,0.05115511551155116,0.0,0.0,0.0,0.0,0.0,0.0,0.056105610561056105,0.0,0.0165016501650165,0.0,0.0,0.0
F7,0.0,0.0,0.056451612903225805,0.024193548387096774,0.0,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.0,0.04516129032258064,0.0,0.05806451612903226,0.0,0.05806451612903226,0.0,0.0,0.0,0.041935483870967745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.0,0.03064516129032258,0.0,0.0,0.0,0.04516129032258064,0.0,0.0,0.05806451612903226,0.05806451612903226,0.02903225806451613,0.0467741935483871,0.0,0.0467741935483871,0.0,0.0,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.05806451612903226,0.02903225806451613,0.0,0.0,0.0,0.05806451612903226,0.024193548387096774,0.05806451612903226
FT9,0.0,0.0,0.050335570469798654,0.04697986577181208,0.0,0.0,0.0,0.0,0.050335570469798654,0.0,0.0,0.0,0.050335570469798654,0.0,0.050335570469798654,0.0,0.050335570469798654,0.0,0.0,0.0,0.050335570469798654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050335570469798654,0.0,0.0,0.0,0.03355704697986577,0.0,0.0,0.0,0.050335570469798654,0.0,0.0,0.050335570469798654,0.050335570469798654,0.050335570469798654,0.050335570469798654,0.0,0.050335570469798654,0.0,0.0,0.0,0.0,0.0,0.050335570469798654,0.0,0.0,0.050335570469798654,0.0436241610738255,0.0,0.0,0.0,0.050335570469798654,0.020134228187919462,0.050335570469798654
FC5,0.0,0.055445544554455446,0.0,0.0,0.053465346534653464,0.0,0.0,0.053465346534653464,0.0,0.055445544554455446,0.0,0.03564356435643564,0.0,0.055445544554455446,0.0,0.04554455445544554,0.0,0.0,0.047524752475247525,0.041584158415841586,0.0,0.04554455445544554,0.0,0.055445544554455446,0.055445544554455446,0.02574257425742574,0.055445544554455446,0.0,0.05148514851485148,0.0,0.0,0.0,0.04356435643564356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055445544554455446,0.0,0.0,0.0,0.055445544554455446,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.055445544554455446,0.0,0.007920792079207921,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.05319148936170213,0.0,0.0,0.0425531914893617,0.0,0.0,0.060790273556231005,0.0,0.05623100303951368,0.0,0.030395136778115502,0.0,0.06231003039513678,0.0,0.0486322188449848,0.0,0.0,0.0364741641337386,0.031914893617021274,0.0,0.0547112462006079,0.0,0.06231003039513678,0.05167173252279635,0.02127659574468085,0.05623100303951368,0.0,0.0425531914893617,0.0,0.0,0.0,0.04711246200607903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.06231003039513678,0.04711246200607903,0.0,0.0,0.0,0.0,0.0,0.0,0.05927051671732523,0.0,0.019756838905775075,0.0,0.0,0.0
TP9,0.0,0.0,0.038338658146964855,0.01597444089456869,0.0,0.0,0.0,0.0,0.09691160809371673,0.0,0.0,0.0,0.029818956336528223,0.0,0.07987220447284345,0.0,0.06389776357827476,0.0,0.0,0.0,0.027689030883919063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051118210862619806,0.0,0.0,0.0,0.02023429179978701,0.0,0.0,0.0,0.029818956336528223,0.0,0.0,0.07987220447284345,0.08200212992545261,0.019169329073482427,0.0308839190628328,0.0,0.0308839190628328,0.0,0.0,0.0,0.0,0.0,0.08519701810436635,0.0,0.0,0.10010649627263046,0.019169329073482427,0.0,0.0,0.0,0.04046858359957402,0.01810436634717785,0.04046858359957402
CP5,0.0,0.05511811023622047,0.0,0.0,0.04409448818897638,0.0,0.0,0.05511811023622047,0.0,0.05984251968503937,0.0,0.031496062992125984,0.0,0.06141732283464567,0.0,0.048818897637795275,0.0,0.0,0.03779527559055118,0.03307086614173228,0.0,0.048818897637795275,0.0,0.05669291338582677,0.05511811023622047,0.02204724409448819,0.05669291338582677,0.0,0.04409448818897638,0.0,0.0,0.0,0.047244094488188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05984251968503937,0.0,0.0,0.0,0.05826771653543307,0.048818897637795275,0.0,0.0,0.0,0.0,0.0,0.0,0.05669291338582677,0.0,0.01889763779527559,0.0,0.0,0.0
