,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.08622754491017964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046706586826347304,0.0,0.0,0.0,0.04311377245508982,0.0,0.03473053892215569,0.0,0.03952095808383234,0.0,0.0,0.08742514970059881,0.0,0.041916167664670656,0.033532934131736525,0.041916167664670656,0.01437125748502994,0.0,0.0,0.0,0.0,0.04790419161676647,0.0,0.046706586826347304,0.0,0.0,0.081437125748503,0.03592814371257485,0.0,0.0,0.0011976047904191617,0.0,0.0,0.0,0.0,0.02155688622754491,0.0,0.0,0.03473053892215569,0.0,0.0,0.0,0.041916167664670656,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.03832335329341317,0.0,0.08862275449101796,0.0,0.0,0.08622754491017964
Fz,0.0,0.04028239202657807,0.03571428571428571,0.040697674418604654,0.04111295681063123,0.014950166112956811,0.0377906976744186,0.013289036544850499,0.0,0.028654485049833887,0.02117940199335548,0.0008305647840531562,0.0,0.024501661129568107,0.0,0.012458471760797342,0.0,0.026578073089700997,0.0303156146179402,0.0,0.03820598006644518,0.0,0.0004152823920265781,0.0,0.0012458471760797341,0.0,0.028654485049833887,0.0377906976744186,0.04152823920265781,0.0,0.04111295681063123,0.0,0.01287375415282392,0.0,0.0,0.0,0.04152823920265781,0.024916943521594685,0.01079734219269103,0.0049833887043189366,0.030730897009966777,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.012458471760797342,0.0,0.010382059800664452,0.0,0.04111295681063123,0.012458471760797342,0.04152823920265781,0.003737541528239203,0.02616279069767442,0.024916943521594685,0.0,0.04111295681063123,0.0,0.026993355481727575,0.04111295681063123,0.0
F3,0.0,0.03860679815358791,0.03860679815358791,0.03734788082249266,0.03986571548468317,0.015526647083508182,0.03986571548468317,0.013428451531682753,0.0,0.031053294167016365,0.02349979018044482,0.001678556441460344,0.0,0.026017624842635333,0.0,0.013428451531682753,0.0,0.025597985732270248,0.03273185060847671,0.0,0.03734788082249266,0.0,0.0,0.0,0.0,0.0,0.026856903063365505,0.0360889634913974,0.039026437263953,0.0,0.03734788082249266,0.0,0.013848090642047839,0.0,0.0,0.0,0.03944607637431809,0.027276542173730593,0.009651699538396978,0.005035669324381032,0.03273185060847671,0.03776751993285774,0.0,0.0,0.0,0.0,0.0,0.013428451531682753,0.0,0.009651699538396978,0.0,0.03986571548468317,0.013008812421317666,0.03944607637431809,0.004616030214015947,0.02853545950482585,0.02517834662190516,0.0,0.03986571548468317,0.0,0.026856903063365505,0.03986571548468317,0.0
F7,0.0,0.039898132427843805,0.03522920203735144,0.04074702886247878,0.041171477079796265,0.014855687606112054,0.03735144312393888,0.013582342954159592,0.0,0.028438030560271648,0.020797962648556875,0.00042444821731748726,0.0,0.024193548387096774,0.0,0.01230899830220713,0.0,0.027589134125636672,0.030135823429541596,0.0,0.03777589134125637,0.0,0.0008488964346349745,0.0,0.001697792869269949,0.0,0.02928692699490662,0.03735144312393888,0.04159592529711375,0.0,0.04159592529711375,0.0,0.012733446519524618,0.0,0.0,0.0,0.04202037351443124,0.02461799660441426,0.011460101867572157,0.0050933786078098476,0.030560271646859084,0.03438030560271647,0.0,0.0,0.0,0.0,0.0,0.01230899830220713,0.0,0.010611205432937181,0.0,0.041171477079796265,0.01230899830220713,0.04159592529711375,0.003395585738539898,0.025891341256366725,0.02504244482173175,0.0,0.041171477079796265,0.0,0.027589134125636672,0.041171477079796265,0.0
FT9,0.0,0.038109756097560975,0.035442073170731704,0.037728658536585365,0.04763719512195122,0.014100609756097561,0.036966463414634144,0.012195121951219513,0.0,0.027820121951219513,0.020960365853658538,0.0011432926829268292,0.0,0.023246951219512195,0.0,0.011814024390243903,0.0,0.024390243902439025,0.02972560975609756,0.0,0.036204268292682924,0.0,0.00038109756097560977,0.0,0.0011432926829268292,0.0,0.026295731707317072,0.035823170731707314,0.04535060975609756,0.0,0.039634146341463415,0.0,0.012195121951219513,0.0,0.0,0.0,0.04801829268292683,0.024390243902439025,0.009908536585365854,0.004573170731707317,0.02934451219512195,0.0350609756097561,0.0,0.0,0.0,0.0,0.0,0.011814024390243903,0.0,0.009527439024390244,0.0,0.04344512195121951,0.011814024390243903,0.04420731707317073,0.0038109756097560975,0.025914634146341462,0.022865853658536585,0.0,0.04458841463414634,0.0,0.024771341463414635,0.04763719512195122,0.0
FC5,0.0,0.030910609857978277,0.030910609857978277,0.030910609857978277,0.030910609857978277,0.03007518796992481,0.030910609857978277,0.026733500417710943,0.0,0.030910609857978277,0.03007518796992481,0.001670843776106934,0.0,0.030910609857978277,0.0,0.02506265664160401,0.0,0.026733500417710943,0.030910609857978277,0.0,0.030910609857978277,0.0,0.0,0.0,0.0,0.0,0.02756892230576441,0.030910609857978277,0.030910609857978277,0.0,0.03007518796992481,0.0,0.025898078529657476,0.0,0.0,0.0,0.030910609857978277,0.030910609857978277,0.015037593984962405,0.010025062656641603,0.030910609857978277,0.030910609857978277,0.0,0.0,0.0,0.0,0.0,0.02506265664160401,0.0,0.015037593984962405,0.0,0.030910609857978277,0.02506265664160401,0.030910609857978277,0.007518796992481203,0.030910609857978277,0.030910609857978277,0.0,0.030910609857978277,0.0,0.029239766081871343,0.030910609857978277,0.0
FC1,0.0,0.040115798180314306,0.03722084367245657,0.03887510339123242,0.04052936311000827,0.015301902398676593,0.03928866832092639,0.013234077750206782,0.0,0.02977667493796526,0.022332506203473945,0.0012406947890818859,0.0,0.025227460711331678,0.0,0.01282051282051282,0.0,0.02564102564102564,0.03143093465674111,0.0,0.038461538461538464,0.0,0.0,0.0,0.00041356492969396195,0.0,0.027708850289495452,0.03722084367245657,0.04052936311000827,0.0,0.03887510339123242,0.0,0.013234077750206782,0.0,0.0,0.0,0.04052936311000827,0.026054590570719603,0.009925558312655087,0.004962779156327543,0.03184449958643507,0.036393713813068655,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.009925558312655087,0.0,0.04052936311000827,0.01282051282051282,0.04052936311000827,0.0041356492969396195,0.02729528535980149,0.02481389578163772,0.0,0.04052936311000827,0.0,0.026881720430107527,0.04052936311000827,0.0
C3,0.0,0.030592734225621414,0.030592734225621414,0.030592734225621414,0.030592734225621414,0.029636711281070746,0.030592734225621414,0.029636711281070746,0.0,0.030592734225621414,0.029636711281070746,0.0,0.0,0.030592734225621414,0.0,0.02390057361376673,0.0,0.030592734225621414,0.030592734225621414,0.0,0.030592734225621414,0.0,0.0,0.0,0.0,0.0,0.030592734225621414,0.030592734225621414,0.030592734225621414,0.0,0.030592734225621414,0.0,0.0248565965583174,0.0,0.0,0.0,0.030592734225621414,0.030592734225621414,0.017208413001912046,0.011472275334608031,0.030592734225621414,0.030592734225621414,0.0,0.0,0.0,0.0,0.0,0.02390057361376673,0.0,0.017208413001912046,0.0,0.030592734225621414,0.02390057361376673,0.030592734225621414,0.0038240917782026767,0.030592734225621414,0.030592734225621414,0.0,0.030592734225621414,0.0,0.030592734225621414,0.030592734225621414,0.0
T7,0.05790960451977401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059322033898305086,0.0,0.0,0.0,0.05508474576271186,0.0,0.04519774011299435,0.0,0.046610169491525424,0.0,0.0,0.059322033898305086,0.0,0.052259887005649715,0.043785310734463276,0.05367231638418079,0.0211864406779661,0.0,0.0,0.0,0.0,0.059322033898305086,0.0,0.052259887005649715,0.0,0.0,0.05367231638418079,0.046610169491525424,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.025423728813559324,0.0,0.0,0.04519774011299435,0.0,0.0,0.0,0.04943502824858757,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.04519774011299435,0.0,0.05790960451977401,0.0,0.0,0.059322033898305086
TP9,0.0,0.03502879078694818,0.03598848368522073,0.034069097888675626,0.03598848368522073,0.017754318618042227,0.03598848368522073,0.015355086372360844,0.0,0.03502879078694818,0.026391554702495202,0.0019193857965451055,0.0,0.029750479846449136,0.0,0.015355086372360844,0.0,0.02783109404990403,0.03502879078694818,0.0,0.03550863723608445,0.0,0.0,0.0,0.0,0.0,0.028790786948176585,0.0345489443378119,0.03550863723608445,0.0,0.03358925143953935,0.0,0.01583493282149712,0.0,0.0,0.0,0.03550863723608445,0.030710172744721688,0.01055662188099808,0.005758157389635317,0.03598848368522073,0.03598848368522073,0.0,0.0,0.0,0.0,0.0,0.015355086372360844,0.0,0.01055662188099808,0.0,0.03598848368522073,0.014875239923224568,0.03550863723608445,0.00527831094049904,0.032149712092130515,0.02831094049904031,0.0,0.03598848368522073,0.0,0.030230326295585412,0.03598848368522073,0.0
