,bankssts-lh,caudalanteriorcingulate-lh,frontalpole-rh,insula-rh,paracentral-rh,superiorparietal-lh,temporalpole-lh,transversetemporal-lh
bankssts-lh,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0
caudalanteriorcingulate-lh,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.1
frontalpole-rh,0.16666666666666666,0.0,0.25,0.25,0.0,0.16666666666666666,0.16666666666666666,0.0
insula-rh,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0
paracentral-rh,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.1
superiorparietal-lh,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0
temporalpole-lh,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0
transversetemporal-lh,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.2
