,bankssts-rh,frontalpole-rh,isthmuscingulate-rh,lingual-lh,lingual-rh,parahippocampal-lh,pericalcarine-rh,rostralanteriorcingulate-lh
bankssts-rh,0.3835616438356164,0.2602739726027397,0.0,0.0,0.0,0.0,0.0,0.3561643835616438
frontalpole-rh,0.3181818181818182,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3484848484848485
isthmuscingulate-rh,0.0,0.0,0.76,0.0,0.0,0.0,0.24,0.0
lingual-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lingual-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pericalcarine-rh,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.7647058823529411,0.0
rostralanteriorcingulate-lh,0.345679012345679,0.2839506172839506,0.0,0.0,0.0,0.0,0.0,0.37037037037037035
