,lateraloccipital-lh,lateralorbitofrontal-rh,paracentral-lh,parahippocampal-lh,parahippocampal-rh,parsorbitalis-rh,pericalcarine-rh,transversetemporal-rh
lateraloccipital-lh,0.4878048780487805,0.0,0.5121951219512195,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.5217391304347826,0.0,0.0,0.0,0.4782608695652174,0.0,0.0
paracentral-lh,0.4523809523809524,0.0,0.5476190476190477,0.0,0.0,0.0,0.0,0.0
parahippocampal-lh,0.0,0.07692307692307693,0.0,0.8076923076923077,0.0,0.11538461538461539,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.5,0.0,0.020833333333333332,0.0,0.4791666666666667,0.0,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
