,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,entorhinal-lh,lateralorbitofrontal-rh,medialorbitofrontal-rh,parahippocampal-lh,parsorbitalis-rh,transversetemporal-rh
caudalanteriorcingulate-lh,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941
caudalanteriorcingulate-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.5517241379310345,0.25862068965517243,0.0,0.1896551724137931,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,0.40625,0.59375,0.0,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.375,0.025,0.0,0.6,0.0
transversetemporal-rh,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391
