,P3,Oz,O2,CP2,AFz,POz,PO4,PO8
P3,0.1875,0.25,0.0,0.0625,0.0,0.0,0.25,0.25
Oz,0.1875,0.25,0.0,0.0625,0.0,0.0,0.25,0.25
O2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CP2,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO4,0.1875,0.25,0.0,0.0625,0.0,0.0,0.25,0.25
PO8,0.1875,0.25,0.0,0.0625,0.0,0.0,0.25,0.25
