,P3,Oz,O2,CP2,AFz,POz,PO4,PO8
P3,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
Oz,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
O2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CP2,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
AFz,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
POz,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
PO4,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
PO8,0.16,0.16,0.0,0.12,0.12,0.12,0.16,0.16
