,FT9,FC1,TP9,Oz,P8,F8,Fp2,AF7
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.6521739130434783,0.34782608695652173,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.47058823529411764,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
