,FT9,FC1,TP9,Oz,P8,F8,Fp2,AF7
FT9,0.45751633986928103,0.013071895424836602,0.0,0.30718954248366015,0.0,0.0,0.0,0.2222222222222222
FC1,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.366412213740458,0.015267175572519083,0.0,0.35877862595419846,0.0,0.0,0.0,0.2595419847328244
P8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.330188679245283,0.018867924528301886,0.0,0.330188679245283,0.0,0.0,0.0,0.32075471698113206
