,bankssts-rh,inferiorparietal-rh,inferiortemporal-rh,isthmuscingulate-rh,lateraloccipital-rh,lingual-rh,pericalcarine-rh,transversetemporal-rh
bankssts-rh,0.5655737704918032,0.040983606557377046,0.0,0.10655737704918032,0.1885245901639344,0.01639344262295082,0.08196721311475409,0.0
inferiorparietal-rh,0.0430622009569378,0.2583732057416268,0.19617224880382775,0.13875598086124402,0.1339712918660287,0.15789473684210525,0.0,0.07177033492822966
inferiortemporal-rh,0.0,0.21717171717171718,0.3282828282828283,0.13131313131313133,0.07575757575757576,0.14646464646464646,0.0,0.10101010101010101
isthmuscingulate-rh,0.07142857142857142,0.14761904761904762,0.12857142857142856,0.38571428571428573,0.08095238095238096,0.14761904761904762,0.0380952380952381,0.0
lateraloccipital-rh,0.18666666666666668,0.16,0.07333333333333333,0.08666666666666667,0.34,0.13333333333333333,0.02,0.0
lingual-rh,0.025,0.18,0.135,0.125,0.12,0.335,0.045,0.035
pericalcarine-rh,0.07692307692307693,0.0,0.009615384615384616,0.057692307692307696,0.009615384615384616,0.10576923076923077,0.625,0.11538461538461539
transversetemporal-rh,0.0,0.13513513513513514,0.1891891891891892,0.0,0.0,0.04504504504504504,0.07207207207207207,0.5585585585585585
