,frontalpole-rh,insula-rh,isthmuscingulate-rh,lateralorbitofrontal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,temporalpole-rh
frontalpole-rh,0.44214876033057854,0.0,0.0,0.0,0.0,0.256198347107438,0.30165289256198347,0.0
insula-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.891566265060241,0.0,0.0,0.0,0.10843373493975904
parahippocampal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.32432432432432434,0.0,0.0,0.0,0.0,0.5081081081081081,0.16756756756756758,0.0
rostralanteriorcingulate-rh,0.3686868686868687,0.0,0.0,0.0,0.0,0.16666666666666666,0.46464646464646464,0.0
temporalpole-rh,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.9629629629629629
