,caudalanteriorcingulate-lh,frontalpole-lh,frontalpole-rh,medialorbitofrontal-lh,parahippocampal-lh,posteriorcingulate-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-lh,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
frontalpole-lh,0.0,0.40625,0.21875,0.375,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.25806451612903225,0.45161290322580644,0.25806451612903225,0.0,0.0,0.03225806451612903,0.0
medialorbitofrontal-lh,0.0,0.27586206896551724,0.20689655172413793,0.4827586206896552,0.0,0.0,0.034482758620689655,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.9375,0.0625,0.0,0.0
posteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.3125
rostralanteriorcingulate-lh,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,0.0,0.5238095238095238,0.2857142857142857
rostralanteriorcingulate-rh,0.27586206896551724,0.0,0.0,0.0,0.0,0.20689655172413793,0.06896551724137931,0.4482758620689655
