,Fz,P8,TP10,AF7,PO8,P6,TP8,AF8
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.2518703241895262,0.0,0.25037406483790525,0.2488778054862843,0.2488778054862843,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.2483790523690773,0.0,0.2523690773067332,0.24788029925187033,0.2513715710723192,0.0
P6,0.0,0.0,0.24949799196787148,0.0,0.2505020080321285,0.25,0.25,0.0
TP8,0.0,0.0,0.248375812093953,0.0,0.25237381309345325,0.2478760619690155,0.2513743128435782,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
