,frontalpole-lh,frontalpole-rh,inferiorparietal-lh,lateraloccipital-lh,lingual-lh,medialorbitofrontal-lh,pericalcarine-lh,transversetemporal-lh
frontalpole-lh,0.4788732394366197,0.29577464788732394,0.0,0.0,0.028169014084507043,0.07042253521126761,0.056338028169014086,0.07042253521126761
frontalpole-rh,0.3375,0.425,0.025,0.025,0.0,0.0,0.05,0.1375
inferiorparietal-lh,0.025,0.1,0.25,0.25,0.125,0.125,0.0,0.125
lateraloccipital-lh,0.016129032258064516,0.06451612903225806,0.1935483870967742,0.3064516129032258,0.12903225806451613,0.20967741935483872,0.0,0.08064516129032258
lingual-lh,0.0,0.0,0.16,0.22,0.32,0.3,0.0,0.0
medialorbitofrontal-lh,0.012658227848101266,0.0,0.10126582278481013,0.22784810126582278,0.189873417721519,0.46835443037974683,0.0,0.0
pericalcarine-lh,0.4,0.3,0.0,0.0,0.0,0.0,0.3,0.0
transversetemporal-lh,0.225,0.325,0.075,0.075,0.0,0.0,0.025,0.275
