,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,parsopercularis-lh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-lh,0.34210526315789475,0.11403508771929824,0.008771929824561403,0.02631578947368421,0.10526315789473684,0.11403508771929824,0.24561403508771928,0.043859649122807015
caudalmiddlefrontal-rh,0.09420289855072464,0.30434782608695654,0.057971014492753624,0.0,0.15217391304347827,0.0,0.2463768115942029,0.14492753623188406
parsopercularis-lh,0.06521739130434782,0.21739130434782608,0.1956521739130435,0.0,0.17391304347826086,0.0,0.17391304347826086,0.17391304347826086
rostralmiddlefrontal-lh,0.024,0.0,0.0,0.464,0.328,0.184,0.0,0.0
rostralmiddlefrontal-rh,0.06,0.1,0.035,0.19,0.365,0.04,0.1,0.11
superiortemporal-lh,0.1566265060240964,0.012048192771084338,0.012048192771084338,0.27710843373493976,0.0963855421686747,0.4457831325301205,0.0,0.0
superiortemporal-rh,0.17045454545454544,0.19318181818181818,0.045454545454545456,0.0,0.11363636363636363,0.0,0.3693181818181818,0.10795454545454546
supramarginal-lh,0.041666666666666664,0.15833333333333333,0.06666666666666667,0.0,0.18333333333333332,0.0,0.15833333333333333,0.39166666666666666
