,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.25830487426265136,0.0,0.0040360136603539275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04377522508537721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02266376901583359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23067370381868985,0.04098106178205526,0.0,0.09282831418814033,0.005277864017385905,0.03290903446134741,0.0,0.0,0.05091586463831108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029804408568767465,0.0,0.0,0.0,0.009624340266997827,0.0,0.03477180999689537,0.0,0.0,0.0,0.07047500776156473,0.055262340887923006,0.0,0.0,0.01769636758770568
Fz,0.0,0.1496919648708874,0.04391139074583825,0.003014811901953074,0.015467295844802727,0.02542928299908245,0.009044435705859222,0.01533621706645694,0.0045877572421025034,0.012583562721195438,0.0,0.0342115611482501,0.01468082317472801,0.005898545025560362,0.005898545025560362,0.006029623803906148,0.017433477519989513,0.014549744396382226,0.03866823961200681,0.0,0.0,0.01284572027788701,0.0,0.0027526543452615023,0.04299383929741775,0.006553938917289291,0.009830908375933936,0.0036702057936820027,0.03814392449862367,0.014942980731419583,0.0,0.018219950190064227,0.044435705859221394,0.0,0.0,0.019923974308559446,0.0,0.02189015598374623,0.003014811901953074,0.01874426530344737,0.0,0.016122689736531654,0.016122689736531654,0.016122689736531654,0.0,0.01625376851487744,0.013894350504653296,0.032114300694717525,0.0,0.0,0.025298204220736663,0.016909162406606372,0.027788701009306593,0.0,0.0018351028968410013,0.0360466640450911,0.0,0.014942980731419583,0.042207366627343035,0.049941014549744395,0.0,0.0
F3,0.002029495332160736,0.04505479637396834,0.12393451495061561,0.02070085238803951,0.047490190772561225,0.006764984440535787,0.024624543363550265,0.0,0.0,0.004194290353132187,0.0,0.01650656203490732,0.0335543228250575,0.0,0.00013529968881071573,0.00027059937762143147,0.012853470437017995,0.00920037883912867,0.04410769855229333,0.0,0.029224732783114597,0.0,0.0,0.03274252469219321,0.012853470437017995,0.0,0.0,0.0,0.055066973345961306,0.0,0.0,0.0032471925314571776,0.026654038695711,0.0,0.0,0.01907725612231092,0.0021647950209714517,0.01813015830063591,0.0,0.02124205114328237,0.011500473548910838,0.010688675416046543,0.010688675416046543,0.010688675416046543,0.0,0.01082397510485726,0.003517791909078609,0.02949533216073603,0.02164795020971452,0.0,0.021783249898525234,0.0,0.0028412934650250306,0.0,0.0,0.06670274658368286,0.03274252469219321,0.04464889730753619,0.0215126505209038,0.05804356649979705,0.030848329048843187,0.0
F7,0.0,0.003635788808093582,0.02418589946253557,0.15570660765096428,0.10654441985456845,0.0,0.020550110654441987,0.0,0.02402782168827063,0.0,0.0,0.0,0.015175466329434081,0.0,0.0,0.0,0.002687322162503952,0.0,0.0,0.016914321846348404,0.10938981979133734,0.0,0.0,0.020550110654441987,0.0,0.0,0.0,0.015175466329434081,0.020708188428706923,0.0,0.0,0.06433765412582991,0.003635788808093582,0.03129939930445779,0.03351248814416693,0.003635788808093582,0.0,0.0075877331647170405,0.0,0.017546632943408157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04584255453683212,0.01991779955738223,0.0,0.006797344293392349,0.009010433133101486,0.0,0.0,0.0,0.020392032880177047,0.04394562124565286,0.05090104331331015,0.003635788808093582,0.026557066076509643,0.06670882073980398,0.0094846664558963
FT9,0.0,0.014616623312275485,0.043478260869565216,0.08373590982286634,0.11284528675833023,0.0063173541434411,0.021553325901151988,0.0,0.017837235228539576,0.003963830050786573,0.0,0.002725133159915769,0.022668153102935712,0.0,0.0002477393781741608,0.0003716090672612412,0.01288244766505636,0.008423138857921467,0.0003716090672612412,0.0,0.090920351789917,0.0,0.0,0.030100334448160536,0.0,0.0,0.0,0.011272141706924315,0.03579834014616623,0.0,0.0,0.05041496345844172,0.006688963210702341,0.024526198439241916,0.026755852842809364,0.0,0.00309674222717701,0.009166356992443949,0.0,0.0,0.009785705437879351,0.00990957512696643,0.00990957512696643,0.00990957512696643,0.0,0.010033444816053512,0.0,0.03356868574259879,0.01882819274123622,0.0,0.004335439118047814,0.0,0.002725133159915769,0.0,0.0,0.033816425120772944,0.039142821751517405,0.05896197200545027,0.0,0.04744209092035179,0.06243032329988852,0.008423138857921467
FC5,0.0,0.026466081626967543,0.006686167989970748,0.0,0.006825463156428472,0.15099596044017272,0.031062822120072435,0.03468449644797326,0.0,0.05042485025769606,0.0,0.00891489065329433,0.0,0.0,0.04346009193480986,0.02730185262571389,0.0,0.02771973812508706,0.0,0.0,0.0,0.0,0.020476389469285417,0.0,0.0,0.05209639225518874,0.015043877977434183,0.0,0.008775595486836606,0.0670009750661652,0.0,0.0,0.028276918790917954,0.0,0.0,0.04568881459813345,0.0,0.0,0.0,0.0,0.034963086780888705,0.03384872544922691,0.03384872544922691,0.03384872544922691,0.0,0.03384872544922691,0.0,0.0,0.0,0.0,0.0,0.0,0.0571110182476668,0.0,0.03955982727399359,0.02730185262571389,0.0,0.0,0.027441147792171612,0.008079119654547988,0.0,0.018247666805961835
FC1,0.0,0.016369411189836307,0.043977522599560226,0.03176154409968238,0.04202296603957977,0.05448326410945517,0.12875641338871244,0.02980698753970193,0.0,0.0070852675299291476,0.008551184949914489,0.0,0.02760811140972392,0.0,0.0,0.0,0.008306865379916931,0.0,0.0,0.0,0.03786953334962131,0.0,0.01148301978988517,0.04495480087955045,0.0,0.01294893720987051,0.0,0.0,0.045199120449548005,0.030784265819692156,0.0,0.0,0.0,0.0,0.0,0.03127290495968727,0.0,0.030784265819692156,0.0,0.0,0.036403615929635966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04324456388956755,0.0,0.0,0.0,0.021255802589787442,0.0,0.004153432689958466,0.04984119227950159,0.045199120449548005,0.0503298314194967,0.012460298069875397,0.03371610065966284,0.05497190324945028,0.004397752259956022
C3,0.0,0.03894344734168642,0.0,0.0,0.0,0.08533694547917373,0.04063664070436844,0.20589231290213342,0.0,0.027091093802912292,0.0,0.07145275990518117,0.0,0.0,0.0,0.0,0.0,0.0044023027429732475,0.0,0.0,0.0,0.014561462919065358,0.044700304774805286,0.012190992211310531,0.0,0.0372502539790044,0.0,0.0027091093802912294,0.023704707077548254,0.04910260751777853,0.0,0.0,0.0016931933626820183,0.009143244158482899,0.0,0.04131391804944125,0.0,0.0,0.0,0.0,0.018963765662038605,0.02878428716559431,0.02878428716559431,0.02946156451066712,0.0,0.029122925838130715,0.012190992211310531,0.0,0.0,0.002031832035218422,0.0,0.0,0.059600406366407045,0.02302742973247545,0.02133423636979343,0.0,0.0,0.0,0.036572976633931595,0.0,0.0,0.0
T7,0.0,0.010933806146572104,0.0,0.044326241134751775,0.04196217494089834,0.0,0.0,0.0,0.2765957446808511,0.0,0.038120567375886524,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.004432624113475178,0.0,0.04521276595744681,0.005319148936170213,0.0,0.0020685579196217494,0.026891252955082743,0.0,0.0,0.005319148936170213,0.041666666666666664,0.0,0.008274231678486997,0.040780141843971635,0.0,0.0384160756501182,0.015366430260047281,0.0,0.0065011820330969266,0.01004728132387707,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.01152482269503546,0.0,0.02984633569739953,0.024527186761229315,0.024527186761229315,0.04284869976359338,0.013297872340425532,0.005319148936170213,0.004728132387706856,0.03486997635933806,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.08008274231678487,0.0
TP9,0.0,0.014450422751729438,0.004458109146810146,0.0,0.004611837048424289,0.05503458877786318,0.00415065334358186,0.011683320522674866,0.0,0.14511913912375096,0.01506533435818601,0.008147578785549578,0.0,0.0,0.0207532667179093,0.0064565718677940045,0.02644119907763259,0.026133743274404306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09008455034588778,0.014911606456571868,0.0,0.00676402767102229,0.0930053804765565,0.0,0.0,0.04135280553420446,0.0,0.00015372790161414298,0.05318985395849347,0.02013835511145273,0.007993850883935434,0.0,0.0,0.0,0.010760953112990008,0.010760953112990008,0.010760953112990008,0.0,0.010760953112990008,0.0,0.0,0.013066871637202153,0.0,0.0,0.0,0.045964642582628744,0.0,0.10038431975403536,0.0196771714066103,0.0,0.0,0.051960030745580324,0.0164488854727133,0.0,0.0393543428132206
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.007704879757179547,0.0,0.03011907541442914,0.022414195657249593,0.2776091524632267,0.0,0.0,0.0,0.0,0.0,0.01027317300957273,0.0,0.0,0.0,0.0,0.046696240952603316,0.0014008872285780996,0.0,0.0,0.0,0.0,0.0,0.005370067709549381,0.015409759514359094,0.0,0.0,0.0366565491477936,0.009105766985757647,0.0,0.0,0.04132617324305393,0.029652113004903106,0.04973149661452253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08778893299089423,0.0,0.02591641372869484,0.07961709082418865,0.0,0.015643240719122112,0.0817184216670558,0.056969413962176044,0.009105766985757647,0.007237917347653514,0.0,0.026850338547746905,0.0,0.0,0.007938360961942564,0.01774457156198926
CP1,0.0,0.04812057381514436,0.02287997094606864,0.0,0.004358089704013074,0.011258398402033775,0.0,0.03831487198111495,0.0032685672780098057,0.009260940621027784,0.00018158707100054475,0.16706010532050117,0.02015616488106047,0.01180315961503541,0.00417650263301253,0.0,0.0018158707100054477,0.0,0.05756310150717269,0.0,0.0018158707100054477,0.028872344289086617,0.0,0.0018158707100054477,0.033775195206101324,0.008716179408026149,0.01143998547303432,0.016887597603050662,0.032867259851098604,0.010350463047031052,0.0,0.037043762484111134,0.03668058834211004,0.005266025059015798,0.0,0.0,0.004358089704013074,0.042128200472126384,0.013074269112039223,0.024695841656074087,0.0018158707100054477,0.008534592337025604,0.008534592337025604,0.008897766479026693,0.0,0.008716179408026149,0.031051389141093153,0.009260940621027784,0.0,0.0,0.029053931360087163,0.007263482840021791,0.0,0.02179044852006537,0.010350463047031052,0.031777737425095334,0.0018158707100054477,0.013619030325040858,0.03232249863809697,0.051389141093154164,0.0018158707100054477,0.011984746686035955
Pz,0.0,0.022121271973138457,0.04977286193956153,0.01935611297649615,0.036539601027059054,0.0,0.022713806043847522,0.0,0.0,0.0,0.0,0.02152873790242939,0.11909934821252222,0.0,0.0,0.0,0.029429192178550268,0.0,0.022121271973138457,0.0,0.041674896306537625,0.003950227138060439,0.0,0.03890973730989532,0.022121271973138457,0.0,0.0,0.0,0.0495753505826585,0.0,0.0,0.012048192771084338,0.022121271973138457,0.003555204424254395,0.0,0.0,0.006715386134702746,0.02054118111791428,0.0,0.021133715188623347,0.028244124037132137,0.02449140825597472,0.02449140825597472,0.02449140825597472,0.0,0.02449140825597472,0.005530317993284614,0.012443215484890382,0.01836855619198104,0.0,0.022121271973138457,0.0,0.0,0.0,0.0,0.03179932846138653,0.036342089670156036,0.03219435117519257,0.02646652182500494,0.07169662255579695,0.03179932846138653,0.0
P3,0.05383423702556158,0.018977536793183578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025948876839659178,0.0,0.4287374128582494,0.0,0.0,0.008133230054221533,0.0,0.015879163439194422,0.0,0.0,0.007358636715724245,0.0,0.0,0.025948876839659178,0.0,0.0,0.010844306738962044,0.0,0.0,0.05615801704105345,0.05809450038729667,0.0,0.06158017041053447,0.0,0.0,0.047250193648334625,0.0,0.0,0.022075910147172733,0.0,0.0,0.0,0.0,0.0,0.0,0.030983733539891558,0.0,0.0,0.0,0.0,0.054996127033307515,0.0,0.06003098373353989,0.0,0.0,0.0,0.0,0.0,0.013168086754453912,0.0,0.0
P7,0.0,0.008385335413416536,0.0,0.0,0.0,0.06006240249609984,0.0,0.0,0.0,0.026326053042121683,0.0,0.004875195007800312,0.0,0.0,0.16926677067082682,0.06396255850234009,0.0078003120124804995,0.040171606864274574,0.0,0.03997659906396256,0.0,0.0,0.0,0.0,0.04758190327613104,0.02847113884555382,0.02847113884555382,0.0035101404056162248,0.002730109204368175,0.0218408736349454,0.0,0.0,0.01813572542901716,0.0,0.0,0.0,0.0,0.02281591263650546,0.0,0.0249609984399376,0.0,0.04251170046801872,0.04251170046801872,0.04251170046801872,0.029641185647425898,0.04251170046801872,0.0,0.0,0.06123244929797192,0.0,0.0,0.0,0.02749609984399376,0.0,0.028861154446177848,0.029446177847113883,0.0,0.0,0.0,0.02925117004680187,0.0,0.0046801872074883
