,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh
caudalmiddlefrontal-rh,0.136986301369863,0.14383561643835616,0.1232876712328767,0.1232876712328767,0.13013698630136986,0.14383561643835616,0.10273972602739725,0.0958904109589041
inferiorparietal-rh,0.1282051282051282,0.1987179487179487,0.11538461538461539,0.11538461538461539,0.12179487179487179,0.1346153846153846,0.09615384615384616,0.08974358974358974
parsopercularis-lh,0.1165644171779141,0.1165644171779141,0.22699386503067484,0.11042944785276074,0.1165644171779141,0.1165644171779141,0.09202453987730061,0.10429447852760736
parstriangularis-rh,0.1347517730496454,0.1347517730496454,0.1276595744680851,0.1276595744680851,0.1347517730496454,0.1347517730496454,0.10638297872340426,0.09929078014184398
rostralmiddlefrontal-lh,0.13333333333333333,0.13333333333333333,0.12666666666666668,0.12,0.13333333333333333,0.14666666666666667,0.1,0.10666666666666667
rostralmiddlefrontal-rh,0.1282051282051282,0.14102564102564102,0.1282051282051282,0.11538461538461539,0.1282051282051282,0.14743589743589744,0.09615384615384616,0.11538461538461539
superiortemporal-lh,0.128,0.128,0.128,0.128,0.128,0.128,0.12,0.112
superiortemporal-rh,0.11194029850746269,0.11194029850746269,0.14925373134328357,0.11194029850746269,0.11940298507462686,0.12686567164179105,0.11194029850746269,0.15671641791044777
