,frontalpole-rh,insula-rh,lingual-lh,medialorbitofrontal-rh,middletemporal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-rh,0.2391304347826087,0.0,0.0,0.2391304347826087,0.0,0.0,0.2608695652173913,0.2608695652173913
insula-rh,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
lingual-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-rh,0.2391304347826087,0.0,0.0,0.2391304347826087,0.0,0.0,0.2608695652173913,0.2608695652173913
middletemporal-rh,0.0,0.2631578947368421,0.0,0.0,0.7368421052631579,0.0,0.0,0.0
parahippocampal-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-lh,0.23404255319148937,0.0,0.0,0.23404255319148937,0.0,0.0,0.2765957446808511,0.2553191489361702
rostralanteriorcingulate-rh,0.23404255319148937,0.0,0.0,0.23404255319148937,0.0,0.0,0.2765957446808511,0.2553191489361702
