,FC1,P7,Oz,CP6,AF7,CPz,FT8,FCz
FC1,0.3359375,0.3203125,0.0,0.0,0.0,0.34375,0.0,0.0
P7,0.3360655737704918,0.32786885245901637,0.0,0.0,0.0,0.3360655737704918,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.3359375,0.3203125,0.0,0.0,0.0,0.34375,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
