,FC1,P7,Oz,CP6,AF7,CPz,FT8,FCz
FC1,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.043478260869565216,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.0,0.4857142857142857,0.5142857142857142,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.20224719101123595,0.797752808988764,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
FCz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
