,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875543951261967,0.0,0.0,0.0,0.0,0.0,0.058311575282854654,0.31114012184508266,0.0,0.0,0.0,0.1362053959965187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038294168842471714,0.0,0.0,0.0,0.0,0.0,0.0,0.0034812880765883376,0.0,0.0,0.0,0.0,0.07745865970409051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15535248041775457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03220191470844212,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.05362776025236593,0.0,0.0,0.0,0.22082018927444794,0.0,0.0,0.0,0.0,0.0,0.21766561514195584,0.0,0.0,0.04100946372239748,0.19242902208201892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05362776025236593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22082018927444794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14576802507836992,0.0,0.0,0.0,0.0,0.0,0.032915360501567396,0.24529780564263323,0.0,0.0,0.0,0.24373040752351097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03134796238244514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07366771159874608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20768025078369906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019592476489028215,0.0,0.0
CP6,0.007741935483870968,0.0,0.043440860215053764,0.0,0.0,0.0,0.10064516129032258,0.0,0.0,0.0,0.03913978494623656,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.28258064516129033,0.0821505376344086,0.0,0.06838709677419355,0.07612903225806451,0.0,0.09290322580645162,0.0,0.0,0.0,0.0,0.0,0.0,0.012043010752688172,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10838709677419354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0945395273023635,0.0,0.0,0.0,0.13528932355338225,0.0,0.0,0.0,0.0,0.0,0.05134474327628362,0.0,0.0,0.15240423797881011,0.2925835370823146,0.0,0.0,0.023634881825590873,0.0,0.05867970660146699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04808475957620212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14343928280358598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.006640106241699867,0.0,0.11686586985391766,0.0,0.0,0.0,0.07835325365205843,0.0,0.0,0.0,0.0,0.0,0.0,0.02390438247011952,0.0,0.0,0.0,0.0,0.0,0.21381142098273573,0.0,0.0,0.398406374501992,0.0,0.0,0.04648074369189907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043824701195219126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07171314741035857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,0.01957831325301205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26957831325301207,0.046686746987951805,0.0,0.0,0.5572289156626506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
