,caudalmiddlefrontal-lh,parsopercularis-lh,postcentral-rh,precentral-rh,rostralmiddlefrontal-lh,superiorfrontal-rh,superiorparietal-rh,superiortemporal-rh
caudalmiddlefrontal-lh,0.47674418604651164,0.0,0.023255813953488372,0.12790697674418605,0.0,0.22093023255813954,0.11627906976744186,0.03488372093023256
parsopercularis-lh,0.0,0.65625,0.09375,0.0,0.25,0.0,0.0,0.0
postcentral-rh,0.0,0.1323529411764706,0.5882352941176471,0.0,0.1323529411764706,0.14705882352941177,0.0,0.0
precentral-rh,0.13333333333333333,0.0,0.0,0.48,0.0,0.04,0.14666666666666667,0.2
rostralmiddlefrontal-lh,0.0,0.23684210526315788,0.05263157894736842,0.0,0.7105263157894737,0.0,0.0,0.0
superiorfrontal-rh,0.2235294117647059,0.0,0.1411764705882353,0.03529411764705882,0.0,0.5764705882352941,0.023529411764705882,0.0
superiorparietal-rh,0.13793103448275862,0.0,0.017241379310344827,0.1896551724137931,0.0,0.034482758620689655,0.5862068965517241,0.034482758620689655
superiortemporal-rh,0.09090909090909091,0.0,0.0,0.32727272727272727,0.0,0.0,0.07272727272727272,0.509090909090909
