,Fp1,TP9,FT10,F8,POz,CPz,TP8,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.4954954954954955,0.0,0.0,0.0,0.5045045045045045,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0
CPz,0.0,0.47058823529411764,0.0,0.0,0.0,0.5294117647058824,0.0,0.0
TP8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
