,TP9,CP5,O1,Oz,FT10,C5,POz,CPz
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.6914285714285714,0.0,0.0,0.0,0.30857142857142855,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.5045871559633027,0.0,0.0,0.0,0.4954128440366973,0.0
CPz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
