,parsopercularis-lh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
parsopercularis-lh,0.14814814814814814,0.1111111111111111,0.12698412698412698,0.10582010582010581,0.13227513227513227,0.1164021164021164,0.1164021164021164,0.14285714285714285
superiorfrontal-lh,0.09523809523809523,0.18571428571428572,0.1380952380952381,0.1,0.1380952380952381,0.09047619047619047,0.14761904761904762,0.10476190476190476
superiorfrontal-rh,0.107981220657277,0.15492957746478872,0.15492957746478872,0.0892018779342723,0.13145539906103287,0.107981220657277,0.13615023474178403,0.11737089201877934
superiorparietal-lh,0.11363636363636363,0.13068181818181818,0.11931818181818182,0.16477272727272727,0.13636363636363635,0.08522727272727272,0.13068181818181818,0.11931818181818182
superiortemporal-lh,0.11848341232227488,0.12796208530805686,0.13270142180094788,0.10900473933649289,0.15639810426540285,0.10426540284360189,0.12796208530805686,0.12322274881516587
superiortemporal-rh,0.13690476190476192,0.11904761904761904,0.13095238095238096,0.08928571428571429,0.125,0.13690476190476192,0.10714285714285714,0.15476190476190477
supramarginal-lh,0.10945273631840796,0.14925373134328357,0.13432835820895522,0.10945273631840796,0.14925373134328357,0.08955223880597014,0.15422885572139303,0.1044776119402985
supramarginal-rh,0.14516129032258066,0.10752688172043011,0.11827956989247312,0.11290322580645161,0.12365591397849462,0.12365591397849462,0.10215053763440861,0.16666666666666666
