,FT9,Pz,F4,Fp2,AF7,P2,FC4,AF4
FT9,0.3,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.3,0.0
Pz,0.28169014084507044,0.38028169014084506,0.0,0.0,0.056338028169014086,0.0,0.28169014084507044,0.0
F4,0.0,0.0,0.45,0.0,0.0,0.55,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.2631578947368421,0.2631578947368421,0.0,0.0,0.21052631578947367,0.0,0.2631578947368421,0.0
P2,0.0,0.0,0.22,0.0,0.0,0.78,0.0,0.0
FC4,0.3,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.3,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
