,Fp1,TP9,Fp2,AF7,AF3,F5,AF4,F2
Fp1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.25,0.0,0.0,0.078125,0.21875,0.234375,0.21875
Fp2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.23076923076923078,0.0,0.0,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232
F5,0.0,0.25,0.0,0.0,0.08333333333333333,0.21666666666666667,0.23333333333333334,0.21666666666666667
AF4,0.0,0.25,0.0,0.0,0.08333333333333333,0.21666666666666667,0.23333333333333334,0.21666666666666667
F2,0.0,0.25,0.0,0.0,0.08333333333333333,0.21666666666666667,0.23333333333333334,0.21666666666666667
