,Fp1,FT10,F8,Fp2,AF7,AFz,P1,AF8
Fp1,0.30434782608695654,0.0,0.0,0.34782608695652173,0.0,0.0,0.0,0.34782608695652173
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.2916666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.375
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.2916666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.375
