,Fp1,F7,P4,FC6,AF3,FT7,C5,AF8
Fp1,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0
F7,0.0,0.125,0.175,0.175,0.175,0.175,0.0,0.175
P4,0.0,0.048,0.208,0.208,0.208,0.208,0.0,0.12
FC6,0.0,0.048,0.208,0.208,0.208,0.208,0.0,0.12
AF3,0.0,0.048,0.208,0.208,0.208,0.208,0.0,0.12
FT7,0.0,0.048,0.208,0.208,0.208,0.208,0.0,0.12
C5,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0
AF8,0.0,0.075,0.1875,0.1875,0.1875,0.1875,0.0,0.175
