,Fp1,F7,P4,FC6,AF3,FT7,C5,AF8
Fp1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3194444444444444,0.0,0.3472222222222222
F7,0.0,0.3375,0.0,0.075,0.2625,0.0,0.325,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC6,0.0,0.2608695652173913,0.0,0.2608695652173913,0.21739130434782608,0.0,0.2608695652173913,0.0
AF3,0.0,0.3188405797101449,0.0,0.08695652173913043,0.2753623188405797,0.0,0.3188405797101449,0.0
FT7,0.3333333333333333,0.0,0.0,0.0,0.0,0.3188405797101449,0.0,0.34782608695652173
C5,0.0,0.33766233766233766,0.0,0.07792207792207792,0.2597402597402597,0.0,0.3246753246753247,0.0
AF8,0.3333333333333333,0.0,0.0,0.0,0.0,0.3188405797101449,0.0,0.34782608695652173
