,Fp1,P8,F8,Fp2,AF7,AF3,AFz,TP8
Fp1,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
P8,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222
F8,0.05084745762711865,0.05084745762711865,0.6440677966101694,0.06779661016949153,0.0,0.0,0.0,0.1864406779661017
Fp2,0.15,0.15,0.25,0.2,0.0,0.0,0.0,0.25
AF7,0.0,0.0,0.0,0.0,0.9459459459459459,0.05405405405405406,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP8,0.09375,0.09375,0.375,0.125,0.0,0.0,0.0,0.3125
