,TP9,CP5,O1,Oz,C5,POz,CPz,AF8
TP9,0.3125,0.0,0.34375,0.0,0.3125,0.0,0.03125,0.0
CP5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.3125,0.0,0.34375,0.0,0.3125,0.0,0.03125,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,0.3125,0.0,0.34375,0.0,0.3125,0.0,0.03125,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
