,TP9,O1,AF7,C5,POz,CPz,TP8,FT8
TP9,0.3125,0.0,0.3125,0.0,0.0,0.375,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.3125,0.0,0.3125,0.0,0.0,0.375,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0
TP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
