,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.048411497730711045,0.04387291981845688,0.0,0.036308623298033284,0.0,0.049924357034795766,0.0,0.0,0.048411497730711045,0.0,0.0,0.049924357034795766,0.0,0.028744326777609682,0.048411497730711045,0.0,0.0,0.0,0.049924357034795766,0.0,0.0453857791225416,0.0,0.048411497730711045,0.0,0.049924357034795766,0.0,0.0,0.049924357034795766,0.037821482602118005,0.0,0.03479576399394856,0.037821482602118005,0.049924357034795766,0.0,0.0,0.0,0.03328290468986384,0.049924357034795766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049924357034795766,0.0,0.0,0.0,0.0,0.0,0.0,0.049924357034795766,0.0,0.0,0.0,0.0226928895612708,0.0,0.0,0.036308623298033284
F7,0.0,0.048494983277591976,0.046822742474916385,0.0,0.03678929765886288,0.0,0.048494983277591976,0.0,0.0,0.048494983277591976,0.0,0.0,0.048494983277591976,0.0,0.028428093645484948,0.048494983277591976,0.0,0.0,0.0,0.048494983277591976,0.0,0.046822742474916385,0.0,0.048494983277591976,0.0,0.048494983277591976,0.0,0.0,0.048494983277591976,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.048494983277591976,0.0,0.0,0.0,0.03678929765886288,0.048494983277591976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048494983277591976,0.0,0.0,0.0,0.0,0.0,0.0,0.048494983277591976,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.03678929765886288
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.04569420035149385,0.0421792618629174,0.0,0.04569420035149385,0.0,0.043936731107205626,0.0,0.0,0.04745166959578207,0.0,0.0,0.04745166959578207,0.0,0.03690685413005272,0.04745166959578207,0.0,0.0,0.0,0.04745166959578207,0.0,0.03866432337434095,0.0,0.0421792618629174,0.0,0.04745166959578207,0.0,0.0,0.04745166959578207,0.043936731107205626,0.0,0.029876977152899824,0.04745166959578207,0.04745166959578207,0.0,0.0,0.0,0.03690685413005272,0.04745166959578207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043936731107205626,0.0,0.0,0.0,0.0,0.0,0.0,0.04745166959578207,0.0,0.0,0.0,0.029876977152899824,0.0,0.0,0.04569420035149385
FC1,0.0,0.0,0.0,0.0,0.0,0.048841059602649006,0.0,0.048013245033112585,0.0,0.0,0.050496688741721855,0.0,0.0,0.028973509933774833,0.0,0.0,0.015728476821192054,0.03890728476821192,0.0,0.0,0.028973509933774833,0.0,0.050496688741721855,0.0,0.03145695364238411,0.0,0.03145695364238411,0.033112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.03228476821192053,0.050496688741721855,0.019867549668874173,0.0,0.0,0.030629139072847682,0.027317880794701987,0.04966887417218543,0.03228476821192053,0.030629139072847682,0.0,0.0,0.04966887417218543,0.0,0.0,0.013245033112582781,0.03145695364238411,0.03394039735099338,0.04304635761589404,0.050496688741721855,0.0,0.0,0.0,0.050496688741721855,0.0,0.048013245033112585,0.0,0.0
C3,0.0,0.04747320061255743,0.0444104134762634,0.0,0.03522205206738132,0.0,0.04900459418070444,0.0,0.0,0.04747320061255743,0.0,0.0,0.05053598774885146,0.0,0.027565084226646247,0.04747320061255743,0.0,0.0,0.0,0.05053598774885146,0.0,0.04747320061255743,0.0,0.05053598774885146,0.0,0.05053598774885146,0.0,0.0,0.05053598774885146,0.036753445635528334,0.0,0.03522205206738132,0.036753445635528334,0.05053598774885146,0.0,0.0,0.0,0.033690658499234305,0.05053598774885146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05053598774885146,0.0,0.0,0.0,0.0,0.0,0.0,0.05053598774885146,0.0,0.0,0.0,0.021439509954058193,0.0,0.0,0.03522205206738132
T7,0.0,0.0,0.0,0.0,0.0,0.04192546583850932,0.0,0.07065217391304347,0.0,0.0,0.05434782608695652,0.0,0.0,0.024844720496894408,0.0,0.0,0.014751552795031056,0.03260869565217391,0.0,0.0,0.02717391304347826,0.0,0.04580745341614907,0.0,0.029503105590062112,0.0,0.026397515527950312,0.027950310559006212,0.0,0.0,0.0,0.0,0.0,0.0,0.027950310559006212,0.07065217391304347,0.015527950310559006,0.0,0.0,0.02717391304347826,0.023291925465838508,0.05434782608695652,0.027950310559006212,0.02717391304347826,0.0,0.0,0.05201863354037267,0.0,0.0,0.016304347826086956,0.02872670807453416,0.027950310559006212,0.04736024844720497,0.06909937888198758,0.0,0.0,0.0,0.046583850931677016,0.0,0.04192546583850932,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.04881656804733728,0.042899408284023666,0.0,0.03698224852071006,0.0,0.04881656804733728,0.0,0.0,0.04881656804733728,0.0,0.0,0.05029585798816568,0.0,0.029585798816568046,0.04881656804733728,0.0,0.0,0.0,0.05029585798816568,0.0,0.04437869822485207,0.0,0.047337278106508875,0.0,0.05029585798816568,0.0,0.0,0.05029585798816568,0.03698224852071006,0.0,0.034023668639053255,0.038461538461538464,0.05029585798816568,0.0,0.0,0.0,0.03254437869822485,0.05029585798816568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04881656804733728,0.0,0.0,0.0,0.0,0.0,0.0,0.05029585798816568,0.0,0.0,0.0,0.023668639053254437,0.0,0.0,0.03698224852071006
