,caudalmiddlefrontal-lh,cuneus-lh,frontalpole-lh,frontalpole-rh,lateraloccipital-lh,parsopercularis-lh,temporalpole-lh,transversetemporal-lh
caudalmiddlefrontal-lh,0.42857142857142855,0.16071428571428573,0.0,0.0,0.0,0.17857142857142858,0.017857142857142856,0.21428571428571427
cuneus-lh,0.125,0.525,0.0,0.075,0.1,0.175,0.0,0.0
frontalpole-lh,0.0,0.0,0.525,0.175,0.15,0.05,0.025,0.075
frontalpole-rh,0.0,0.017241379310344827,0.22413793103448276,0.3620689655172414,0.25862068965517243,0.13793103448275862,0.0,0.0
lateraloccipital-lh,0.0,0.0,0.16279069767441862,0.3023255813953488,0.4883720930232558,0.0,0.046511627906976744,0.0
parsopercularis-lh,0.1,0.13333333333333333,0.1,0.21666666666666667,0.06666666666666667,0.38333333333333336,0.0,0.0
temporalpole-lh,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.696969696969697,0.21212121212121213
transversetemporal-lh,0.36,0.02,0.0,0.0,0.0,0.04,0.12,0.46
