,Fp2,AF7,AF3,AFz,F5,F6,AF8,AF4
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.5656108597285068,0.4343891402714932,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.44513137557959814,0.5316846986089645,0.0,0.023183925811437404
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.11403508771929824,0.0,0.8859649122807017
