,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,postcentral-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,supramarginal-rh
caudalmiddlefrontal-lh,0.5555555555555556,0.0,0.16666666666666666,0.0,0.0,0.0,0.2777777777777778,0.0
caudalmiddlefrontal-rh,0.0,0.8461538461538461,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
postcentral-rh,0.1724137931034483,0.0,0.5862068965517241,0.0,0.0,0.10344827586206896,0.13793103448275862,0.0
superiorfrontal-lh,0.0,0.08695652173913043,0.0,0.9130434782608695,0.0,0.0,0.0,0.0
superiorfrontal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
superiorparietal-lh,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0
superiorparietal-rh,0.3684210526315789,0.0,0.21052631578947367,0.0,0.0,0.0,0.42105263157894735,0.0
supramarginal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
