,entorhinal-lh,frontalpole-lh,frontalpole-rh,insula-lh,medialorbitofrontal-lh,parstriangularis-lh,rostralanteriorcingulate-rh,temporalpole-lh
entorhinal-lh,0.9174757281553398,0.0,0.0,0.0,0.0,0.0825242718446602,0.0,0.0
frontalpole-lh,0.0,0.49014084507042255,0.1352112676056338,0.036619718309859155,0.18591549295774648,0.0,0.15211267605633802,0.0
frontalpole-rh,0.0,0.12742980561555076,0.4838012958963283,0.0,0.17062634989200864,0.0,0.21814254859611232,0.0
insula-lh,0.009478672985781991,0.052132701421800945,0.0,0.7819905213270142,0.0,0.13270142180094788,0.0,0.023696682464454975
medialorbitofrontal-lh,0.0,0.178743961352657,0.16666666666666666,0.0,0.4227053140096618,0.0,0.2318840579710145,0.0
parstriangularis-lh,0.0875,0.0,0.0,0.1,0.0,0.6833333333333333,0.05,0.07916666666666666
rostralanteriorcingulate-rh,0.0,0.11864406779661017,0.21398305084745764,0.0,0.2309322033898305,0.01694915254237288,0.4194915254237288,0.0
temporalpole-lh,0.0,0.0,0.0,0.029940119760479042,0.0,0.11377245508982035,0.0,0.8562874251497006
