,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.00129296840933283,-0.015232565665626523,-0.0008635995815097306,0.0019315519844710118,-0.004755419300083229,0.0013101370850384236,-0.001855128587303627,-0.01296280596327362,0.001962394826667782,-0.007603140439463399,0.007410030821571271,-0.01393260823786486,-0.012976480129764802,-0.00550020556830292,0.0006613738526234795,0.004844453317459146,-0.0004181256242636808,-0.017198455001508718,0.01671514918363707,0.01394734595063869,0.00927427551986902,-0.003261288708146794,0.005299043385699313,0.004307514379905418,-0.005139207572935725,0.004915255112846817,-0.0017100304873138685,-0.004151173076356242,0.012699958096276463,0.0002558588485683296,0.0,0.0,0.0,-0.009035585347006284,-0.011931318004288826,-0.004799936308771189,0.007431757552773926,0.007507117403658659,-0.006893755068937551,-0.0017408733295106431,0.003698710100681367,0.004566867737688159,-0.002860331759588705,-0.009846615355116585,0.005404182532498176,-0.0012999574277616586,0.011614837017609592,0.003967179569458233,0.013378500624605539,0.0017808322827015412,0.015088531111919407,0.007775586872435524,0.0016494083492029632,-0.006695023849265713,-0.005526490355002633,0.004593152524387876,0.00044547395724604637,-0.008590111389760235,0.0,0.0,0.004077940318036804,-0.0030271565907811215
F3,0.005929177597209803,6.013364703051638e-06,0.004155610845103241,0.0073017280906815425,-0.00303073581033848,-0.009857783924772812,0.015537031051511982,-0.012605139923479934,0.006940174537910505,0.010153190465810263,-0.0042969249156249775,-0.014952983004728007,-0.008127438231469442,0.004192818539203381,-0.0018769214579402727,-0.0017683050579913873,-0.006464742891075416,-0.016649879356870644,0.006649278020400341,0.00704879093785939,0.014343002322662118,-0.006826296443846449,-0.005632267714996579,-0.010400114253929359,-0.0005765313409051617,0.006143403714756046,-0.0033216323278486438,-0.013940482722851536,0.008169155949096868,0.0015540789404451388,0.0,0.0,0.0,-0.013796913640566158,-0.01354322481715613,-0.008885498019348001,0.01990611634357359,-0.007800085690447021,-0.011378413524057216,-0.008054526184444927,0.01868014161473876,0.009141441854521676,-0.0020212422108135328,-0.0040082834098784555,0.0022407300224749497,-0.0033223839984365252,0.016040650345392635,0.003794057292332207,0.005204567150491968,0.002998789810353511,0.007733187008125558,0.014090065169839967,-0.0075828528905492465,0.007842555078662328,-0.01029149785398047,0.01510181378112856,0.0039034253628689747,0.00032960755278606604,0.0,0.0,-0.005848748844306473,-0.008268752301991176
F7,0.0018185838002097998,0.0015200337436828606,0.01724910583944468,0.006685702368800266,-0.00039576698669852896,0.006131252263821661,-0.008311420323669657,0.013228088166347577,0.0022996508030588836,-0.011487905116276155,0.0020864007626824966,0.015113155802674721,-0.018328840970350403,0.02420764281872649,-0.005929919137466307,-0.0016172506738544475,0.007496052522230536,-0.01276740535853447,-0.0012879675232732625,0.021341624996667967,-0.010297154523174477,-0.01270938880343207,-0.005177585539138439,0.01593542287012602,-0.01649834025611957,0.004072134962187318,-0.002652767781682135,-0.004751085458385667,0.010940354277309723,-0.002013017660552976,-0.01256607223217912,-0.004991618959810207,-0.008354070331744934,0.0025009839294142383,-8.185038314446544e-05,0.0018305007142308336,-0.022257659361284765,0.0007404166843068341,-0.0026101177736068577,-0.005390835579514825,-0.0002098004073702968,-0.0012180340541498302,-0.0006943170432254691,0.007639369093483485,0.0075625363583478765,0.0014501002745594266,0.012914171562793512,0.0,-0.0024087846472515065,-0.001303334070300385,0.0020318338405861877,0.0019619003714627554,0.011110954309610835,-0.0025521012185044586,0.0006124666600810028,-0.009063753921997524,-0.00850930381701892,-5.4566922096309714e-05,-0.010382454539325032,-0.008734470771416338,0.004300751549590826,0.010827770800111014
FT9,0.005191801972169695,-0.010757794124589364,0.004020982419309602,0.00471486569418874,-0.0035051692394844937,-0.0012402425918675054,-6.977015420245314e-05,-0.011667583050781565,0.013551377214247828,-0.0036325605160631037,-0.0005914842923431946,-0.010535293284570589,-0.007328990228013029,0.0037092729741662993,0.00024818736445151625,0.002920280135847003,0.001966060464690056,-0.01482320728886371,0.014422983468985951,0.013271602367047941,0.008716062547381224,-0.011209738108527649,-0.004586780187220051,-0.003199707867851856,-0.006928072177745196,0.013869334732901802,-0.004618714785163463,-0.006393514777388084,0.013933203928788624,0.0017241211737492052,0.0,0.0,0.0,-0.0036641479988114775,-0.018239515038418714,-0.004052569902057977,0.005248728864155774,0.0005092179911194081,-0.007736156351791531,-0.003378125078100918,0.003957460338617817,0.005554190235788408,-0.0027609542613249802,-0.00803502253471846,0.015440725220834686,-0.0018511653351327775,0.016624040920716114,0.002653001435668447,0.010624849004890156,0.0013551377214247827,0.014136613433080357,0.007551838183226837,-0.002862659013470846,-0.016916311914937338,-0.0006039804393645279,0.0023794746619792235,-0.006908980842018155,-0.01240554995543041,0.0,0.0012787723785166241,0.002443343857866046,-0.0015137693655567323
FC5,0.002783253543602742,-0.014216205584834139,0.0007480566618837531,0.0009592647722751896,0.007015908775976361,-0.008204038209670427,0.0017439755400893119,-0.0006591034048088404,-0.00040900618202786496,-0.008706467661691543,0.01198768064439706,-0.011730878402238583,-0.007048092868988391,0.008211860732277516,0.0009159056469673181,0.005062960131954782,-0.0013660359478438883,-0.0010314554809063396,0.009623490811888446,-0.00911547384371941,0.0012448985977569476,-0.00045460031379490704,-0.00414146696883954,-0.00708474697491876,0.022767116796967544,0.014225145610670816,0.010204815991918217,-0.009282205325573393,0.0034057028424812133,0.016255872479471464,0.0016172506738544475,0.00215633423180593,0.009164420485175202,-0.014590792667390811,0.003116716507310706,0.006679093302579644,0.0,0.0019951902660998687,-0.0019862502402631967,0.003942551393973528,0.0013716234639918126,-0.004269309338303988,-0.001074814606214211,-0.004352675079230979,0.0032356188509384803,-0.006093298109631538,0.002944397509308802,-0.0033978803198741244,0.013729421178027206,8.336574092699138e-05,0.008296343976434093,-0.0001233723565461104,-0.00978016476467617,-0.014840889890171781,0.0009181406534264878,-0.004560530679933665,-0.011690871786619463,-0.018281011832124196,0.003234501347708895,0.001078167115902965,-0.004513819044937039,0.002286411607729546
FC1,0.009862707710242936,-0.019115096021792972,0.00368530748805441,0.0026534106368723276,-0.00801830635560273,0.007147996270330088,-0.004588150017045925,-0.002776281106124597,-0.0012106908600502675,-0.008980029919093694,-0.004649719683257676,-0.0032658809409350648,-0.0064059339177343225,0.018010068388036232,-0.0075961911767710825,-0.005080707346739925,0.022058878883594077,-0.013072665111562087,0.014145966891113642,0.007898393381233996,0.0025507049054623327,0.003380416651879192,0.00010862072117705929,0.011000267787718544,-0.0014951480952119772,0.010806686304432692,-0.008546084760727908,0.005016449048815874,0.0016126413010396391,0.006781266904771891,-0.0006743088334457181,0.0017180356641619374,-0.0002755847505111089,-0.008112139602362123,-0.004429789609191246,-0.00900637850987427,-0.0016857720836142953,-0.002131278358342984,-0.01449763991908294,-0.013360079841607328,-0.004983916605097002,-0.0021108447573294793,-0.0033011020163662384,-0.00033123942695579243,0.006998239483954783,-0.000668393843678651,0.006104000576442639,0.006904406237195391,0.017429592801349907,0.0019643143290089377,0.01231070688429527,0.003776183239930268,0.0043128341297060495,-0.009067948176086018,-0.0020022240361524182,-0.0018675235873660124,-0.013943512923177187,-0.013876028267198371,0.0005218634153581096,0.001319311581227328,-0.0004718548655092622,0.01151917370819312
C3,0.007173608643858808,0.01083907477458022,-0.007230500579368892,0.007678089174045204,0.004259348273852234,-0.003228907605174615,-0.012499970973502292,-0.004002173504148467,0.006568115901644293,-0.006345192399237417,-0.007376213597869224,0.002420809908949679,-0.017890772128060263,-0.004876451615150438,-0.0008185472354002524,-0.0017264960837449304,-0.005885412675523231,-0.009360464981272102,-0.008642929957899967,0.016006952426731315,0.005750149196198227,-0.00575072972615241,0.011478238254137437,0.0019052993096337779,-0.008429875464714229,-0.000729145622455827,-0.001031601728585992,0.0012887764982897586,0.011892736641425226,-0.006468264749524546,-0.011770244821092278,-0.00977496336855989,-0.01162453180259195,0.0004144983872877879,0.003967922236851577,0.00038082764994508064,0.008249911178917008,0.003497112444007886,-0.004708097928436911,-0.00343035149927666,0.013888018093957611,0.014762876734913768,0.0016922448164480366,-0.004876451615150438,-0.00031406670521385606,-0.0007848764980575469,0.006220958989041918,0.011097410604192354,-0.00849721693939964,-0.009842304843245303,0.003295088019951653,0.004012623043323789,0.0018716285722910724,0.012173132609296373,-0.0006507740786409096,0.005750149196198227,0.004259348273852234,0.014919619822543605,-0.009449866594216528,-0.01100800899124793,-0.00302688318111838,0.004337719817667153
T7,-0.009615834429302628,-0.019869477170802896,0.015249526526797355,-0.009116921235375622,-0.0012944253383277704,-0.004573169996532445,-0.0058321481432182295,0.00728741209940454,-0.004677341335235424,-0.010932926679292618,0.003290078114035786,0.0012703116025168971,-0.007671543910871775,0.01404263404946306,0.0038123816316993388,0.0043346851493628906,0.015156688643925487,-0.019236973880483642,-0.00277983146427767,0.010055910107851094,-0.00031926586213598587,-0.005924986026090097,-0.007004316840984862,0.008344076002637077,-0.005013969087155241,0.011071821797563258,0.004276571046058682,-0.015569515801007664,0.0023730327411482094,0.017808958445763627,0.004520360915106629,0.009174311926605505,0.014031300593631947,-0.006900145502281886,-0.006140080549523107,0.01036384251415597,-0.008936550491510277,0.0018160054439169994,0.005785367495745131,0.0019322336505254141,-0.010358537492277576,-0.0034296966443807513,-0.00722471638629626,-0.002507346249614781,0.014849479649694936,0.0012763400364696163,0.007125850069471673,0.0002785136486156063,0.011976810302545396,0.00037135153148747514,0.011495258998402225,0.006696384434679989,0.005889538834448111,-0.024372476196125696,-0.0066042699638824455,-0.0013231206839427116,-0.012847798440034204,-0.023739972905806442,0.01025364274150027,0.00444488492201859,-0.00034265618587253285,0.0035044492253944667
TP9,0.004729847250494152,-0.013100632193988777,-0.0011533965871252938,0.012934808403507504,-0.008116706046746094,-0.007043826122332262,-0.005190284642063822,-0.007436828505772879,-0.001815402008457749,-0.00618264790376619,-0.0015511894356242568,-0.01877217432576047,-0.014148454301174328,-0.0018332741280985103,-0.004669045193984355,0.0008110625841095086,-0.0054598404259239355,-0.00968816283454028,0.015082963484864341,0.007419509132100387,0.009965457061956189,0.00031488095325832646,0.006097340775996378,-0.00767598326137809,0.0035132533743298874,0.011713424062284886,2.0267352169933e-05,-0.006298356059790903,0.010073979520393378,0.0033319526967370283,0.0008361204013377926,0.002926421404682274,0.001254180602006689,-0.007177406397997733,-0.009426345494235967,-0.006668695858532407,0.008361204013377926,-7.038298662649656e-05,-0.012894273699167638,0.002800579572572598,0.005941097915631804,0.009038686321821969,0.003478061881016639,-0.0012893720953199364,0.005998951993644158,-0.003888383638129743,0.009942794477257082,0.008280687350666463,0.011139121001251416,-0.0014808064489977612,0.01118444617064963,0.010846902632692196,-0.004998850288385998,-0.0060138761347874724,-0.0032132965622148763,0.007039035657273916,0.0017730248175569802,-0.005381718995741646,0.0020903010033444815,0.0016722408026755853,-0.0015511894356242568,-0.006421802659371402
CP5,0.0016576638372059783,0.01958234492745339,0.0030628673773662185,0.008888507816742405,-0.010384215991692628,-0.010960587613249879,0.004006020939914451,-0.004996808520773197,0.0032534034506082887,0.006030466718111416,0.0030581039755351682,-0.015709699238808387,-0.013499480789200415,0.020196823763659055,-0.0010955824211418825,0.0020196823763659055,-0.027094229615021864,-0.014018691588785047,-0.005844694046700392,0.010003143845208494,0.007121285737422239,-0.010150809301971098,-0.0005192107995846313,-0.00778816199376947,-0.02284527518172378,-0.007268951194184839,-0.015057113187954309,-0.008421694437299343,0.010984404622405136,-0.01018891651661951,-0.006092390941915077,-0.0014766545676260165,-0.012246706107633825,-0.003844065277658692,-0.013499480789200415,-0.008921851629559767,0.010736707727190452,-0.003691636419065039,0.0,0.0,0.016871969285584997,0.027522935779816515,0.0008478855259271972,0.014390236931607077,0.0020196823763659055,-0.005787533224727771,0.011870397362980747,0.0030581039755351682,-0.017133956386292833,0.004925357493307421,0.003829775072165538,0.023564548858212582,-0.014537902388369679,0.03183381443691827,-0.014075852410757666,0.022526127259043318,0.017005344536854438,0.0227547705469338,-0.004053654958224965,-0.005744662608248307,-0.002596053997923157,-0.014075852410757666
