,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,superiorfrontal-lh,superiorfrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh
parsopercularis-lh,0.21875,0.0625,0.140625,0.09375,0.0,0.15625,0.15625,0.171875
parstriangularis-rh,0.07228915662650602,0.14457831325301204,0.1566265060240964,0.12048192771084337,0.03614457831325301,0.1566265060240964,0.1566265060240964,0.1566265060240964
rostralmiddlefrontal-lh,0.10185185185185185,0.1111111111111111,0.1574074074074074,0.10185185185185185,0.027777777777777776,0.16666666666666666,0.16666666666666666,0.16666666666666666
superiorfrontal-lh,0.11428571428571428,0.11428571428571428,0.15714285714285714,0.14285714285714285,0.0,0.15714285714285714,0.15714285714285714,0.15714285714285714
superiorfrontal-rh,0.0,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.125,0.16666666666666666,0.16666666666666666,0.16666666666666666
superiortemporal-lh,0.10909090909090909,0.10909090909090909,0.15454545454545454,0.1,0.02727272727272727,0.16363636363636364,0.16363636363636364,0.17272727272727273
superiortemporal-rh,0.10909090909090909,0.10909090909090909,0.15454545454545454,0.1,0.02727272727272727,0.16363636363636364,0.16363636363636364,0.17272727272727273
supramarginal-lh,0.11711711711711711,0.10810810810810811,0.15315315315315314,0.0990990990990991,0.02702702702702703,0.16216216216216217,0.16216216216216217,0.17117117117117117
