,caudalanteriorcingulate-lh,frontalpole-rh,insula-lh,isthmuscingulate-rh,lateralorbitofrontal-lh,pericalcarine-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-lh,0.13333333333333333,0.125,0.125,0.11666666666666667,0.125,0.125,0.125,0.125
frontalpole-rh,0.1328125,0.125,0.125,0.1171875,0.125,0.125,0.125,0.125
insula-lh,0.1328125,0.125,0.125,0.1171875,0.125,0.125,0.125,0.125
isthmuscingulate-rh,0.12213740458015267,0.1297709923664122,0.1297709923664122,0.12213740458015267,0.12213740458015267,0.1297709923664122,0.12213740458015267,0.12213740458015267
lateralorbitofrontal-lh,0.13333333333333333,0.125,0.125,0.11666666666666667,0.125,0.125,0.125,0.125
pericalcarine-lh,0.1328125,0.125,0.125,0.1171875,0.125,0.125,0.125,0.125
rostralanteriorcingulate-lh,0.13333333333333333,0.125,0.125,0.11666666666666667,0.125,0.125,0.125,0.125
rostralanteriorcingulate-rh,0.13333333333333333,0.125,0.125,0.11666666666666667,0.125,0.125,0.125,0.125
