,inferiorparietal-rh,insula-rh,lateraloccipital-lh,parahippocampal-rh,parsopercularis-rh,parsorbitalis-rh,posteriorcingulate-rh,rostralmiddlefrontal-rh
inferiorparietal-rh,0.4444444444444444,0.1388888888888889,0.0,0.0,0.0,0.0,0.19444444444444445,0.2222222222222222
insula-rh,0.35294117647058826,0.29411764705882354,0.0,0.0,0.0,0.0,0.35294117647058826,0.0
lateraloccipital-lh,0.0,0.0,0.59375,0.0,0.0,0.28125,0.0,0.125
parahippocampal-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parsopercularis-rh,0.058823529411764705,0.058823529411764705,0.0,0.0,0.8235294117647058,0.0,0.058823529411764705,0.0
parsorbitalis-rh,0.0,0.0,0.25925925925925924,0.0,0.0,0.7407407407407407,0.0,0.0
posteriorcingulate-rh,0.3157894736842105,0.2631578947368421,0.0,0.0,0.0,0.0,0.42105263157894735,0.0
rostralmiddlefrontal-rh,0.2857142857142857,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.5428571428571428
