,cuneus-rh,isthmuscingulate-rh,lateraloccipital-rh,lingual-rh,pericalcarine-lh,pericalcarine-rh,precuneus-rh,superiorparietal-rh
cuneus-rh,0.12,0.12,0.16,0.16,0.08,0.16,0.08,0.12
isthmuscingulate-rh,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111
lateraloccipital-rh,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111
lingual-rh,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111
pericalcarine-lh,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
pericalcarine-rh,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111
precuneus-rh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285
superiorparietal-rh,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.1111111111111111
