,Fp1,FT9,T7,Cz,Fp2,PO7,AF8,AF4
Fp1,0.32,0.0,0.0,0.34,0.34,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.125,0.0,0.0,0.4296875,0.4453125,0.0,0.0,0.0
Fp2,0.08791208791208792,0.0,0.0,0.3076923076923077,0.6043956043956044,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.3302752293577982,0.3363914373088685,0.3333333333333333
AF8,0.0,0.0,0.0,0.0,0.0,0.2981029810298103,0.38482384823848237,0.3170731707317073
AF4,0.0,0.0,0.0,0.0,0.0,0.31176470588235294,0.3323529411764706,0.3558823529411765
