,TP9,O1,AF7,PO7,PO3,POz,FT8,AF8
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.5572519083969466,0.0,0.0,0.0,0.0,0.0,0.44274809160305345
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.36477987421383645,0.0,0.0,0.0,0.0,0.0,0.6352201257861635
