,caudalmiddlefrontal-lh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-rh,supramarginal-rh
caudalmiddlefrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
inferiorparietal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
parsopercularis-lh,0.12129380053908356,0.12129380053908356,0.1509433962264151,0.12129380053908356,0.12129380053908356,0.12129380053908356,0.12129380053908356,0.12129380053908356
parstriangularis-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralmiddlefrontal-lh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
rostralmiddlefrontal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
superiortemporal-rh,0.11811023622047244,0.11811023622047244,0.11811023622047244,0.11811023622047244,0.11811023622047244,0.11811023622047244,0.1732283464566929,0.11811023622047244
supramarginal-rh,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
