,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-rh
caudalmiddlefrontal-lh,0.11920529801324503,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643,0.12582781456953643
caudalmiddlefrontal-rh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
precentral-rh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
rostralmiddlefrontal-lh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
rostralmiddlefrontal-rh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
superiortemporal-lh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
superiortemporal-rh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
supramarginal-rh,0.11842105263157894,0.125,0.125,0.13157894736842105,0.125,0.125,0.125,0.125
